#  L TT            EE            BB            TE            PP            PT            PE           
   0 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   1 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   2 1.0825953e+03 1.4746664e-01 1.4796820e-07 6.6772338e+00 5.2118790e-08 2.7735919e-03 -2.5091173e-05
   3 1.0465663e+03 3.9779316e-01 2.9968791e-07 1.0461787e+01 6.2924300e-08 2.8439773e-03 -3.7494399e-05
   4 9.9860773e+02 7.4959835e-01 5.0778217e-07 1.3168715e+01 7.2089927e-08 2.8437573e-03 -4.7767740e-05
   5 9.5350971e+02 1.1654296e+00 7.7715754e-07 1.4809417e+01 7.9981627e-08 2.8193759e-03 -5.6165586e-05
   6 9.1299398e+02 1.5985055e+00 1.1138654e-06 1.5553109e+01 8.6810704e-08 2.7834646e-03 -6.2757142e-05
   7 8.7725883e+02 2.0018411e+00 1.5250485e-06 1.5605498e+01 9.2771969e-08 2.7379513e-03 -6.7579107e-05
   8 8.4601732e+02 2.3359545e+00 2.0188774e-06 1.5143728e+01 9.8002917e-08 2.6846587e-03 -7.0595981e-05
   9 8.1782473e+02 2.5730444e+00 2.6044787e-06 1.4402043e+01 1.0261879e-07 2.6257728e-03 -7.1823840e-05
  10 7.9360338e+02 2.6964455e+00 3.2918534e-06 1.3495802e+01 1.0669199e-07 2.5681123e-03 -7.1424793e-05
  11 7.7435072e+02 2.7019486e+00 4.0917887e-06 1.2491947e+01 1.1031923e-07 2.5139231e-03 -6.9653959e-05
  12 7.5929056e+02 2.6002099e+00 5.0157617e-06 1.1430886e+01 1.1350673e-07 2.4590498e-03 -6.6749209e-05
  13 7.4578852e+02 2.4140844e+00 6.0758372e-06 1.0270202e+01 1.1635827e-07 2.4051494e-03 -6.2983136e-05
  14 7.3438356e+02 2.1674360e+00 7.2845606e-06 9.1608207e+00 1.1886448e-07 2.3485200e-03 -5.8516409e-05
  15 7.2508541e+02 1.8825630e+00 8.6548449e-06 8.1101292e+00 1.2110010e-07 2.2911027e-03 -5.3478997e-05
  16 7.1887970e+02 1.5809454e+00 1.0199856e-05 7.1387510e+00 1.2307047e-07 2.2315641e-03 -4.7967912e-05
  17 7.1527338e+02 1.2824038e+00 1.1932892e-05 6.1932176e+00 1.2480361e-07 2.1716086e-03 -4.2135881e-05
  18 7.1305974e+02 1.0048182e+00 1.3867269e-05 5.2150080e+00 1.2633471e-07 2.1134610e-03 -3.6156442e-05
  19 7.1302855e+02 7.5994780e-01 1.6016193e-05 4.2174131e+00 1.2767447e-07 2.0566856e-03 -3.0220328e-05
  20 7.1358608e+02 5.5635077e-01 1.8392646e-05 3.2195625e+00 1.2883142e-07 2.0004761e-03 -2.4499168e-05
  21 7.1529871e+02 3.9598100e-01 2.1009264e-05 2.2390448e+00 1.2982743e-07 1.9450341e-03 -1.9073897e-05
  22 7.1802794e+02 2.7817178e-01 2.3878224e-05 1.2892247e+00 1.3068436e-07 1.8908268e-03 -1.4011272e-05
  23 7.2122439e+02 1.9830553e-01 2.7011128e-05 3.9163630e-01 1.3141133e-07 1.8383540e-03 -9.4091434e-06
  24 7.2505170e+02 1.5046685e-01 3.0418899e-05 -4.3069859e-01 1.3201549e-07 1.7879843e-03 -5.3626559e-06
  25 7.2951218e+02 1.2746893e-01 3.4111675e-05 -1.1614329e+00 1.3250817e-07 1.7395144e-03 -1.9252509e-06
  26 7.3398929e+02 1.2206825e-01 3.8098713e-05 -1.7754341e+00 1.3290120e-07 1.6927049e-03 8.7465587e-07
  27 7.3876162e+02 1.2804108e-01 4.2388302e-05 -2.2587094e+00 1.3320361e-07 1.6477062e-03 3.0683418e-06
  28 7.4354872e+02 1.3985158e-01 4.6987679e-05 -2.6060689e+00 1.3342230e-07 1.6047675e-03 4.6884762e-06
  29 7.4824469e+02 1.5379431e-01 5.1902959e-05 -2.8071555e+00 1.3355767e-07 1.5641233e-03 5.7163205e-06
  30 7.5302455e+02 1.6711166e-01 5.7139066e-05 -2.8677909e+00 1.3361107e-07 1.5258910e-03 6.1319357e-06
  31 7.5720758e+02 1.7899780e-01 6.2699686e-05 -2.7896918e+00 1.3359363e-07 1.4897223e-03 5.9621527e-06
  32 7.6153052e+02 1.8940980e-01 6.8587217e-05 -2.5928824e+00 1.3351698e-07 1.4552341e-03 5.2561759e-06
  33 7.6547815e+02 1.9923715e-01 7.4802739e-05 -2.2903333e+00 1.3338493e-07 1.4223486e-03 4.1071854e-06
  34 7.6908583e+02 2.0971357e-01 8.1345991e-05 -1.8941367e+00 1.3319986e-07 1.3910553e-03 2.6087517e-06
  35 7.7307982e+02 2.2218003e-01 8.8215361e-05 -1.4368963e+00 1.3296578e-07 1.3612975e-03 8.1382144e-07
  36 7.7666426e+02 2.3792854e-01 9.5407884e-05 -9.3298380e-01 1.3268700e-07 1.3330541e-03 -1.2259029e-06
  37 7.8021985e+02 2.5783860e-01 1.0291925e-04 -4.0726108e-01 1.3236712e-07 1.3064847e-03 -3.4226793e-06
  38 7.8370818e+02 2.8237319e-01 1.1074385e-04 1.2454714e-01 1.3200929e-07 1.2817212e-03 -5.6842654e-06
  39 7.8713501e+02 3.1088896e-01 1.1887476e-04 6.4414743e-01 1.3161572e-07 1.2586014e-03 -7.9354270e-06
  40 7.9058583e+02 3.4246859e-01 1.2730383e-04 1.1315828e+00 1.3118833e-07 1.2368918e-03 -1.0105352e-05
  41 7.9410955e+02 3.7603634e-01 1.3602173e-04 1.5696561e+00 1.3072922e-07 1.2163627e-03 -1.2132110e-05
  42 7.9772012e+02 4.0988213e-01 1.4501801e-04 1.9521417e+00 1.3024065e-07 1.1967881e-03 -1.3988522e-05
  43 8.0140979e+02 4.4213714e-01 1.5428117e-04 2.2751580e+00 1.2972493e-07 1.1779449e-03 -1.5656083e-05
  44 8.0520793e+02 4.7093039e-01 1.6379873e-04 2.5332186e+00 1.2918440e-07 1.1596116e-03 -1.7116295e-05
  45 8.0915876e+02 4.9438808e-01 1.7355736e-04 2.7205327e+00 1.2862150e-07 1.1415679e-03 -1.8350661e-05
  46 8.1321434e+02 5.1095329e-01 1.8354294e-04 2.8336050e+00 1.2803839e-07 1.1236388e-03 -1.9343695e-05
  47 8.1736660e+02 5.2034823e-01 1.9374071e-04 2.8762653e+00 1.2743681e-07 1.1058299e-03 -2.0091962e-05
  48 8.2160443e+02 5.2260804e-01 2.0413531e-04 2.8541559e+00 1.2681829e-07 1.0881911e-03 -2.0594996e-05
  49 8.2593157e+02 5.1776714e-01 2.1471097e-04 2.7729935e+00 1.2618432e-07 1.0707726e-03 -2.0852288e-05
  50 8.3041862e+02 5.0587106e-01 2.2545159e-04 2.6386337e+00 1.2553650e-07 1.0536249e-03 -2.0863297e-05
  51 8.3513268e+02 4.8723047e-01 2.3634087e-04 2.4574234e+00 1.2487633e-07 1.0367875e-03 -2.0630672e-05
  52 8.4000047e+02 4.6321204e-01 2.4736245e-04 2.2374733e+00 1.2420475e-07 1.0202544e-03 -2.0169896e-05
  53 8.4492294e+02 4.3544308e-01 2.5850001e-04 1.9871247e+00 1.2352276e-07 1.0040095e-03 -1.9499629e-05
  54 8.4985300e+02 4.0555165e-01 2.6973742e-04 1.7138599e+00 1.2283125e-07 9.8803608e-04 -1.8638453e-05
  55 8.5475846e+02 3.7516733e-01 2.8105885e-04 1.4247918e+00 1.2213114e-07 9.7231805e-04 -1.7604898e-05
  56 8.5972684e+02 3.4575385e-01 2.9244889e-04 1.1261815e+00 1.2142337e-07 9.5684147e-04 -1.6422302e-05
